market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate,RSI,prev_close,change,gain,loss
KRW-BTC,2022-02-03,2022-02-03T09:00:00,45518000.0,45900000.0,44770000.0,45835000.0,1643932800492,148839125406.1171,3279.73787459,45517000.0,318000.0,0.0069864007,32.2758722214044,47760000.0,-2243000.0,0.0,2243000.0
KRW-BTC,2022-02-04,2022-02-04T09:00:00,45835000.0,50843000.0,45500000.0,50633000.0,1644019200068,355674962643.43884,7451.46465055,45835000.0,4798000.0,0.1046798298,35.5775777290264,45517000.0,318000.0,318000.0,0.0
KRW-BTC,2022-02-05,2022-02-05T09:00:00,50613000.0,51488000.0,50216000.0,50788000.0,1644105599281,285441834169.823,5618.42220443,50633000.0,155000.0,0.0030612446,69.42637924735112,45835000.0,4798000.0,4798000.0,0.0
KRW-BTC,2022-02-06,2022-02-06T09:00:00,50788000.0,52022000.0,50400000.0,51732000.0,1644191999929,206661446937.4289,4046.19621542,50788000.0,944000.0,0.0185870678,81.1496764433986,50633000.0,155000.0,155000.0,0.0
KRW-BTC,2022-02-07,2022-02-07T09:00:00,51678000.0,54110000.0,51084000.0,53511000.0,1644278400124,337553682455.38916,6414.99045765,51732000.0,1779000.0,0.0343887729,81.25365649811951,50788000.0,944000.0,944000.0,0.0
KRW-BTC,2022-02-08,2022-02-08T09:00:00,53511000.0,55321000.0,52325000.0,53651000.0,1644364800429,578845327237.1124,10799.76838891,53511000.0,140000.0,0.0026162845,83.09211518166742,51732000.0,1779000.0,1779000.0,0.0
KRW-BTC,2022-02-09,2022-02-09T09:00:00,53651000.0,54000000.0,52560000.0,53660000.0,1644451200186,266603510170.62662,5006.39849973,53651000.0,9000.0,0.0001677508,83.04354399758088,53511000.0,140000.0,140000.0,0.0
KRW-BTC,2022-02-10,2022-02-10T09:00:00,53659000.0,55380000.0,52604000.0,53123000.0,1644537600055,488428411754.56024,9079.39442265,53660000.0,-537000.0,-0.0100074543,82.80699064847462,53651000.0,9000.0,9000.0,0.0
KRW-BTC,2022-02-11,2022-02-11T09:00:00,53040000.0,53364000.0,51300000.0,51882000.0,1644624000090,321480090359.74054,6124.94691657,53123000.0,-1241000.0,-0.0233608795,78.40608979338201,53660000.0,-537000.0,0.0,537000.0
KRW-BTC,2022-02-12,2022-02-12T09:00:00,51875000.0,52299000.0,50835000.0,51597000.0,1644710398755,241620206211.6828,4680.16804965,51882000.0,-285000.0,-0.0054932346,69.84853029394121,53123000.0,-1241000.0,0.0,1241000.0
KRW-BTC,2022-02-13,2022-02-13T09:00:00,51619000.0,52190000.0,51400000.0,51550000.0,1644796800103,141796428812.6518,2737.45244662,51597000.0,-47000.0,-0.0009109057,67.0366684528822,51882000.0,-285000.0,0.0,285000.0
KRW-BTC,2022-02-14,2022-02-14T09:00:00,51550000.0,52041000.0,50744000.0,51586000.0,1644883200398,218529350233.54776,4253.6279361,51550000.0,36000.0,0.0006983511,66.63856529736358,51597000.0,-47000.0,0.0,47000.0
KRW-BTC,2022-02-15,2022-02-15T09:00:00,51586000.0,53998000.0,51462000.0,53832000.0,1644969600328,254795069714.37585,4794.46946448,51586000.0,2246000.0,0.0435389447,66.58222017503455,51550000.0,36000.0,36000.0,0.0
KRW-BTC,2022-02-16,2022-02-16T09:00:00,53835000.0,53842000.0,52769000.0,53298000.0,1645055999755,244556760070.18353,4581.97459643,53832000.0,-534000.0,-0.0099197503,70.54405196914333,51586000.0,2246000.0,2246000.0,0.0
KRW-BTC,2022-02-17,2022-02-17T09:00:00,53298000.0,53540000.0,49203000.0,49376000.0,1645142400347,392341519114.4038,7615.70913172,53298000.0,-3922000.0,-0.0735862509,79.76891881551764,53832000.0,-534000.0,0.0,534000.0
KRW-BTC,2022-02-18,2022-02-18T09:00:00,49376000.0,50199000.0,48369000.0,49015000.0,1645228796602,272064780977.97128,5516.16174109,49376000.0,-361000.0,-0.0073112443,60.618964793378524,53298000.0,-3922000.0,0.0,3922000.0
KRW-BTC,2022-02-19,2022-02-19T09:00:00,49004000.0,49250000.0,48271000.0,49035000.0,1645315199366,141529609090.52924,2902.28628463,49015000.0,20000.0,0.0004080384,43.38836220987251,49376000.0,-361000.0,0.0,361000.0
KRW-BTC,2022-02-20,2022-02-20T09:00:00,49035000.0,49038000.0,46650000.0,47131000.0,1645401599806,261930452601.5744,5524.94879998,49035000.0,-1904000.0,-0.0388294076,42.756796958929016,49015000.0,20000.0,20000.0,0.0
KRW-BTC,2022-02-21,2022-02-21T09:00:00,47133000.0,48128000.0,45147000.0,45450000.0,1645487999905,367962097771.5558,7886.2960245,47131000.0,-1681000.0,-0.0356665464,32.38649414286809,49035000.0,-1904000.0,0.0,1904000.0
KRW-BTC,2022-02-22,2022-02-22T09:00:00,45450000.0,46693000.0,44746000.0,46474000.0,1645574399945,249720926168.73676,5478.02173628,45450000.0,1024000.0,0.022530253,18.90766026382782,47131000.0,-1681000.0,0.0,1681000.0
KRW-BTC,2022-02-23,2022-02-23T09:00:00,46500000.0,47530000.0,45293000.0,45543000.0,1645660798839,294355073826.30664,6323.31776297,46474000.0,-931000.0,-0.0200327065,24.084639272044484,45450000.0,1024000.0,1024000.0,0.0
KRW-BTC,2022-02-24,2022-02-24T09:00:00,45483000.0,48000000.0,42580000.0,46927000.0,1645747200068,677428293445.7881,15361.05926493,45543000.0,1384000.0,0.0303888633,22.52014354390954,46474000.0,-931000.0,0.0,931000.0
KRW-BTC,2022-02-25,2022-02-25T09:00:00,46854000.0,48500000.0,46555000.0,47831000.0,1645833599785,367692769588.9642,7745.36379841,46927000.0,904000.0,0.0192639632,30.16137295081967,45543000.0,1384000.0,1384000.0,0.0
KRW-BTC,2022-02-26,2022-02-26T09:00:00,47830000.0,49010000.0,47200000.0,47809000.0,1645919999567,211661931303.1995,4412.33689604,47831000.0,-22000.0,-0.0004599528,36.74324235879311,46927000.0,904000.0,904000.0,0.0
KRW-BTC,2022-02-27,2022-02-27T09:00:00,47850000.0,48576000.0,45695000.0,46358000.0,1646006399885,278259630244.21466,5879.5153407,47809000.0,-1451000.0,-0.0303499341,37.38678742674481,47831000.0,-22000.0,0.0,22000.0
KRW-BTC,2022-02-28,2022-02-28T09:00:00,46363000.0,53089000.0,46086000.0,52332000.0,1646092800263,510345453158.8512,10346.17938543,46358000.0,5974000.0,0.1288666465,34.19001218026797,47809000.0,-1451000.0,0.0,1451000.0
KRW-BTC,2022-03-01,2022-03-01T09:00:00,52332000.0,54777000.0,52004000.0,53790000.0,1646179200498,580017405666.1804,10899.50680906,52332000.0,1458000.0,0.0278605824,51.668306646390555,46358000.0,5974000.0,5974000.0,0.0
KRW-BTC,2022-03-02,2022-03-02T09:00:00,53789000.0,54829000.0,52789000.0,53359000.0,1646265599749,410042464654.7711,7651.79638878,53790000.0,-431000.0,-0.0080126418,49.90264255910987,52332000.0,1458000.0,1458000.0,0.0
KRW-BTC,2022-03-03,2022-03-03T09:00:00,53359000.0,53710000.0,51219000.0,51842000.0,1646352000533,298403705749.9444,5670.32573658,53359000.0,-1517000.0,-0.028430068,50.14207853915312,53790000.0,-431000.0,0.0,431000.0
KRW-BTC,2022-03-04,2022-03-04T09:00:00,51875000.0,51952000.0,48071000.0,48450000.0,1646438400088,411649625542.0779,8201.72698722,51842000.0,-3392000.0,-0.0654295745,56.46836638338055,53359000.0,-1517000.0,0.0,1517000.0
KRW-BTC,2022-03-05,2022-03-05T09:00:00,48450000.0,48866000.0,47814000.0,48605000.0,1646524798909,238916280699.47223,4946.11710435,48450000.0,155000.0,0.0031991744,48.721314443488886,51842000.0,-3392000.0,0.0,3392000.0
KRW-BTC,2022-03-06,2022-03-06T09:00:00,48610000.0,49024000.0,47260000.0,47745000.0,1646611199382,231568105039.18558,4817.15746101,48605000.0,-860000.0,-0.0176936529,49.032751484613996,48450000.0,155000.0,155000.0,0.0
KRW-BTC,2022-03-07,2022-03-07T09:00:00,47782000.0,48890000.0,46525000.0,47415000.0,1646697598849,327977721102.5802,6885.29874129,47745000.0,-330000.0,-0.0069117185,51.44920694864049,48605000.0,-860000.0,0.0,860000.0
